id,createdAt,updatedAt,sectionNumber,sectionName,displayName,displayOrder,description,isActive,phaseId
cmdz32fsr0002umpc92vzc2ny,2025-08-05T22:00:49.275Z,2025-08-05T22:52:23.209Z,1,Input Customer Information,Input Customer Information – Office 👩🏼‍💻,0,,true,cmdz32fob0000umpc9m2kyph2
cmdz32g1d0008umpcix3ss3wk,2025-08-05T22:00:49.585Z,2025-08-05T22:52:23.432Z,2,Complete Questions to Ask Checklist,Complete Questions to Ask Checklist – Office 👩🏼‍💻,2,,true,cmdz32fob0000umpc9m2kyph2
cmdz32g5y000eumpc2dree1ur,2025-08-05T22:00:49.751Z,2025-08-05T22:52:23.559Z,3,Input Lead Property Information,Input Lead Property Information – Office 👩🏼‍💻,4,,true,cmdz32fob0000umpc9m2kyph2
cmdz32gex000qumpcg9j1lg9o,2025-08-05T22:00:50.073Z,2025-08-05T22:52:23.811Z,4,Assign A Project Manager,Assign A Project Manager – Office 👩🏼‍💻,6,,true,cmdz32fob0000umpc9m2kyph2
cmdz32gjb000wumpc55b51d1u,2025-08-05T22:00:50.231Z,2025-08-05T22:52:23.935Z,5,Schedule Initial Inspection,Schedule Initial Inspection – Office 👩🏼‍💻,8,,true,cmdz32fob0000umpc9m2kyph2
cmdz32hak0013umpc8irn74qw,2025-08-05T22:00:51.212Z,2025-08-05T22:52:24.102Z,1,Site Inspection,Site Inspection – Project Manager 👷🏼,0,,true,cmdz32gyl0011umpcfry7utim
cmdz32hho001fumpc2r67ae1v,2025-08-05T22:00:51.468Z,2025-08-05T22:52:24.364Z,2,Write Estimate,Write Estimate – Project Manager 👷🏼,2,,true,cmdz32gyl0011umpcfry7utim
cmdz32hoo001pumpchm69jemr,2025-08-05T22:00:51.721Z,2025-08-05T22:52:24.569Z,3,Insurance Process,Insurance Process – Administration 📝,4,,true,cmdz32gyl0011umpcfry7utim
cmdz32huy001xumpcxor67mh2,2025-08-05T22:00:51.946Z,2025-08-05T22:52:24.733Z,4,Agreement Preparation,Agreement Preparation – Administration 📝,6,,true,cmdz32gyl0011umpcfry7utim
cmdz32i1x0029umpcv26cl6yv,2025-08-05T22:00:52.197Z,2025-08-05T22:52:24.980Z,5,Agreement Signing,Agreement Signing – Administration 📝,8,,true,cmdz32gyl0011umpcfry7utim
cmdz32iol0035umpcyqopejhj,2025-08-05T22:00:53.013Z,2025-08-05T22:52:25.944Z,1,Administrative Setup,Administrative Setup – Administration 📝,0,,true,cmdz32ing0033umpc4ixpym7z
cmdz32iul003fumpc8xzulxi7,2025-08-05T22:00:53.230Z,2025-08-05T22:52:26.153Z,2,Pre Job Actions,Pre Job Actions – Office 👩🏼‍💻,2,,true,cmdz32ing0033umpc4ixpym7z
cmdz32iww003jumpcasign2v2,2025-08-05T22:00:53.313Z,2025-08-05T22:52:26.235Z,3,Prepare for Production,Prepare for Production – Administration 📝,4,,true,cmdz32ing0033umpc4ixpym7z
cmdz32iz8003numpcbu6b1e6w,2025-08-05T22:00:53.396Z,2025-08-05T22:52:26.343Z,4,Verify Labor Order in Scheduler,Verify Labor Order in Scheduler – Administration 📝,6,,true,cmdz32ing0033umpc4ixpym7z
cmdz32j3x003vumpcb69d3gsi,2025-08-05T22:00:53.566Z,2025-08-05T22:52:26.513Z,5,Verify Material Orders,Verify Material Orders – Administration 📝,8,,true,cmdz32ing0033umpc4ixpym7z
cmdz32jur0043umpcxtvj1mdx,2025-08-05T22:00:54.532Z,2025-08-05T22:52:26.680Z,6,Subcontractor Work,Subcontractor Work – Administration 📝,10,,true,cmdz32ing0033umpc4ixpym7z
cmdz32l17004cumpcu4t3avnw,2025-08-05T22:00:56.060Z,2025-08-05T22:52:26.890Z,1,Installation,Installation – Field Director 🛠️,0,,true,cmdz32jzp004aumpcxxcspp8d
cmdz32l63004kumpcmas3up8y,2025-08-05T22:00:56.236Z,2025-08-05T22:52:27.054Z,2,Daily Job Progress Note,Daily Job Progress Note – Field Director 🛠️,2,,true,cmdz32jzp004aumpcxxcspp8d
cmdz32pnr004sumpc58jz2xn7,2025-08-05T22:01:02.056Z,2025-08-05T22:52:27.231Z,3,Quality Check,Quality Check – Roof Supervisor 🛠️,4,,true,cmdz32jzp004aumpcxxcspp8d
cmdz32ptv0052umpcixszk70a,2025-08-05T22:01:02.276Z,2025-08-05T22:52:27.449Z,4,Multiple Trades,Multiple Trades – Administration 📝,6,,true,cmdz32jzp004aumpcxxcspp8d
cmdz32pxo0058umpcf3h3938u,2025-08-05T22:01:02.412Z,2025-08-05T22:52:27.578Z,5,Subcontractor Work,Subcontractor Work – Administration 📝,8,,true,cmdz32jzp004aumpcxxcspp8d
cmdz32q21005eumpcav5j2jju,2025-08-05T22:01:02.570Z,2025-08-05T22:52:27.701Z,6,Update Customer,Update Customer – Administration 📝,10,,true,cmdz32jzp004aumpcxxcspp8d
cmdz32qqf006gumpcs23tteuh,2025-08-05T22:01:03.448Z,2025-08-05T22:52:28.539Z,1,Financial Processing,Financial Processing – Administration 📝,0,,true,cmdz32qpc006eumpc31hcjco7
cmdz32qv2006oumpcy2must52,2025-08-05T22:01:03.614Z,2025-08-05T22:52:28.707Z,2,Project Closeout,Project Closeout – Office 👩🏼‍💻,2,,true,cmdz32qpc006eumpc31hcjco7
